"Employee Number","Last Name","First Name","Birthday","Address","Phone Number","SSS Number","Philhealth Number","TIN Number","Pag-ibig Number","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"1","Garcia","Manuel III","10/11/1983","Valero Carpark Building Valero Street 1227 Makati City","966-860-270","44-4506057-3","8.20127E+11","442-605-657-000","6.91295E+11","Regular","Chief Executive Officer","x","90000","1500","2000","1000","45000","535.71"
"2","Lim","Antonio","6/19/1988","San Antonio De Padua 2, Block 1 Lot 8 and 2 Dasmarinas, Cavite","171-867-411","52-2061274-9","3.31736E+11","683-102-776-000","6.63905E+11","Regular","Chief Operating Officer","x","60000","1500","2000","1000","30000","357.14"
"3","Aquino","Bianca Sofia","8/4/1989","Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City","966-889-370","30-8870406-2","1.77451E+11","971-711-280-000","1.7152E+11","Regular","Chief Finance Officer","x","60000","1500","2000","1000","30000","357.14"
"4","Reyes","Isabella","6/16/1994","460 Solanda Street Intramuros 1000 Manila","786-868-477","40-2511815-0","3.41911E+11","876-809-437-000","4.16947E+11","Regular","Chief Marketing Officer","x","60000","1500","2000","1000","30000","357.14"
"5","Hernandez","Eduard","9/23/1989","National Highway Gingoog  Misamis Occidental","088-861-012","50-5577638-1","9.57436E+11","031-702-374-000","9.52347E+11","Regular","IT Operations and Systems","x","52670","1500","1000","1000","26335","313.51"
"6","Villanueva","Andrea Mae","2/14/1988","17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ","918-621-603","49-1632020-8","3.82189E+11","317-674-022-000","4.41093E+11","Regular","HR Manager","x","52670","1500","1000","1000","26335","313.51"
"7","San Jose","Brad ","3/15/1996","99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi","797-009-261","40-2400714-1","2.39193E+11","672-474-690-000","2.1085E+11","Regular","HR Team Leader","x","42975","1500","800","800","21488","255.8"
"8","Romualdez","Alice","5/14/1992","12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ","983-606-799","55-4476527-2","5.45653E+11","888-572-294-000","2.11386E+11","Regular","HR Rank and File","x","22500","1500","500","500","11250","133.93"
"9","Atienza","Rosie ","9/24/1948","90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte","266-036-427","41-0644692-3","7.08988E+11","604-997-793-000","2.60108E+11","Regular","HR Rank and File","x","22500","1500","500","500","11250","133.93"
"10","Alvaro","Roderick","3/30/1988","#284 T. Morato corner Scout Rallos Street Quezon City","053-381-386","64-7605054-4","5.78115E+11","525-420-419-000","7.99254E+11","Regular","Accounting Head","x","52670","1500","1000","1000","26335","313.51"
